MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20260714,46121,Todd County,SD,0.00,100.00,73.20,0.00,0.00,0.00,2026-07-14,2026-07-20,1
20260707,46121,Todd County,SD,0.00,100.00,73.20,0.00,0.00,0.00,2026-07-07,2026-07-13,1
20260630,46121,Todd County,SD,0.00,100.00,73.20,0.00,0.00,0.00,2026-06-30,2026-07-06,1
20260623,46121,Todd County,SD,0.00,100.00,100.00,41.99,0.00,0.00,2026-06-23,2026-06-29,1
20260616,46121,Todd County,SD,0.00,100.00,100.00,41.99,0.00,0.00,2026-06-16,2026-06-22,1
20260609,46121,Todd County,SD,0.00,100.00,100.00,41.99,0.00,0.00,2026-06-09,2026-06-15,1
20260602,46121,Todd County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2026-06-02,2026-06-08,1
20260526,46121,Todd County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2026-05-26,2026-06-01,1
20260519,46121,Todd County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2026-05-19,2026-05-25,1
20260512,46121,Todd County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2026-05-12,2026-05-18,1
20260505,46121,Todd County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2026-05-05,2026-05-11,1
20260428,46121,Todd County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2026-04-28,2026-05-04,1
20260421,46121,Todd County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2026-04-21,2026-04-27,1
20260414,46121,Todd County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2026-04-14,2026-04-20,1
20260407,46121,Todd County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2026-04-07,2026-04-13,1
20260331,46121,Todd County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2026-03-31,2026-04-06,1
20260324,46121,Todd County,SD,0.00,100.00,100.00,68.64,0.00,0.00,2026-03-24,2026-03-30,1
20260317,46121,Todd County,SD,0.00,100.00,100.00,0.00,0.00,0.00,2026-03-17,2026-03-23,1
20260310,46121,Todd County,SD,0.00,100.00,100.00,0.00,0.00,0.00,2026-03-10,2026-03-16,1
20260303,46121,Todd County,SD,0.00,100.00,100.00,0.00,0.00,0.00,2026-03-03,2026-03-09,1
20260224,46121,Todd County,SD,0.00,100.00,100.00,0.00,0.00,0.00,2026-02-24,2026-03-02,1
20260217,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2026-02-17,2026-02-23,1
20260210,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2026-02-10,2026-02-16,1
20260203,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2026-02-03,2026-02-09,1
20260127,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2026-01-27,2026-02-02,1
20260120,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2026-01-20,2026-01-26,1
20260113,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2026-01-13,2026-01-19,1
20260106,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2026-01-06,2026-01-12,1
20251230,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2025-12-30,2026-01-05,1
20251223,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2025-12-23,2025-12-29,1
20251216,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2025-12-16,2025-12-22,1
20251209,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2025-12-09,2025-12-15,1
20251202,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2025-12-02,2025-12-08,1
20251125,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2025-11-25,2025-12-01,1
20251118,46121,Todd County,SD,44.57,55.43,0.00,0.00,0.00,0.00,2025-11-18,2025-11-24,1
20251111,46121,Todd County,SD,58.54,41.46,0.00,0.00,0.00,0.00,2025-11-11,2025-11-17,1
20251104,46121,Todd County,SD,58.30,41.70,0.00,0.00,0.00,0.00,2025-11-04,2025-11-10,1
20251028,46121,Todd County,SD,58.30,41.70,0.00,0.00,0.00,0.00,2025-10-28,2025-11-03,1
20251021,46121,Todd County,SD,58.30,41.70,0.00,0.00,0.00,0.00,2025-10-21,2025-10-27,1
20251014,46121,Todd County,SD,58.30,41.70,0.00,0.00,0.00,0.00,2025-10-14,2025-10-20,1
20251007,46121,Todd County,SD,58.30,41.70,0.00,0.00,0.00,0.00,2025-10-07,2025-10-13,1
20250930,46121,Todd County,SD,58.30,41.70,0.00,0.00,0.00,0.00,2025-09-30,2025-10-06,1
20250923,46121,Todd County,SD,58.30,41.70,0.28,0.00,0.00,0.00,2025-09-23,2025-09-29,1
20250916,46121,Todd County,SD,7.48,92.52,0.71,0.00,0.00,0.00,2025-09-16,2025-09-22,1
20250909,46121,Todd County,SD,7.48,92.52,0.71,0.00,0.00,0.00,2025-09-09,2025-09-15,1
20250902,46121,Todd County,SD,7.48,92.52,0.71,0.00,0.00,0.00,2025-09-02,2025-09-08,1
20250826,46121,Todd County,SD,7.48,92.52,0.71,0.00,0.00,0.00,2025-08-26,2025-09-01,1
20250819,46121,Todd County,SD,40.95,59.05,0.71,0.00,0.00,0.00,2025-08-19,2025-08-25,1
20250812,46121,Todd County,SD,40.95,59.05,0.71,0.00,0.00,0.00,2025-08-12,2025-08-18,1
20250805,46121,Todd County,SD,40.95,59.05,0.00,0.00,0.00,0.00,2025-08-05,2025-08-11,1
20250729,46121,Todd County,SD,40.95,59.05,0.00,0.00,0.00,0.00,2025-07-29,2025-08-04,1
20250722,46121,Todd County,SD,37.67,62.33,0.00,0.00,0.00,0.00,2025-07-22,2025-07-28,1
20250715,46121,Todd County,SD,26.16,73.84,0.00,0.00,0.00,0.00,2025-07-15,2025-07-21,1
20250708,46121,Todd County,SD,26.16,73.84,0.00,0.00,0.00,0.00,2025-07-08,2025-07-14,1
20250701,46121,Todd County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2025-07-01,2025-07-07,1
20250624,46121,Todd County,SD,0.00,100.00,42.25,0.00,0.00,0.00,2025-06-24,2025-06-30,1
20250617,46121,Todd County,SD,0.00,100.00,42.25,0.00,0.00,0.00,2025-06-17,2025-06-23,1
20250610,46121,Todd County,SD,0.00,100.00,56.97,0.00,0.00,0.00,2025-06-10,2025-06-16,1
20250603,46121,Todd County,SD,0.00,100.00,56.97,0.00,0.00,0.00,2025-06-03,2025-06-09,1
